keyword,total_views,total_likes
is,308765878,5744120
the,221858981,2641965
you,218952813,2470278
as,218756395,2466837
asked,218608659,2456566
me,218608659,2456566
3d,218608659,2456566
printed,218608659,2456566
scissor,218608659,2456566
snake,218608659,2456566
still,218608659,2456566
growing,218608659,2456566
how,89233470,3192643
this,89114882,3267007
shorts,88893739,3200458
possible,88640515,3189467
for,5558093,31302
why,4689843,3949
seeding,4552405,7
bright,4552405,7
futures,4552405,7
rural,4552405,7
communties,4552405,7
grow,4552405,7
communities,4552405,7
2022,4552405,7
buy,4423149,121
travel,4423149,121
insurance,4423149,121
school,3761142,15482
to,2988834,52518
with,2248102,57558
funny,1919301,12683
back,1880571,7741
hacks,1880571,7741
diy,1880571,7741
ideas,1880571,7741
supplies,1880571,7741
by,1880571,7741
123,1880571,7741
go,1880571,7741
live,1880571,7741
toca,1533399,92598
in,1355608,58823
a,1328823,65250
boy,1022266,61732
at,1004760,59912
viral,951255,63942
actually,897310,21400
love,878664,80683
interview,822542,26
i,777026,27814
one,743320,29090
different,729170,17951
man,729170,17951
official,729170,17951
trailer,729170,17951
hd,729170,17951
a24,729170,17951
who,687099,61308
will,685550,12059
about,665984,39030
that,661003,22529
foryou,659655,72931
rnc,616247,46005
made,606450,6314
trump,588742,30908
s,570504,33906
open,532687,63338
pressure,531637,32440
top,525964,7824
10,525964,7824
gifts,525964,7824
gamers,525964,7824
they,525964,7824
like,525964,7824
demon,511133,30866
or,511133,30866
ocean,511133,30866
true,511133,30866
sad,511133,30866
story,511133,30866
life,511133,30866
world,511133,30866
boca,511133,30866
v,507368,59664
badge,507368,59664
her,506448,21982
aviator,481531,0
xpro,481531,0
controlling,481531,0
sclerotinia,481531,0
canola,481531,0
3,481531,0
23,481531,0
it,466675,15874
scary,453090,25785
truth,453090,25785
peer,453090,25785
assassination,441006,20637
attempt,441006,20637
youtubeshorts,426110,45290
wish,388513,13907
had,388513,13907
ytlukeys,388513,13907
shot,388513,13907
kv,388513,13907
inhibitor,388513,13907
class,388513,13907
setup,388513,13907
end,388513,13907
chained,371346,13576
together,371346,13576
fun,371346,13576
pup,367531,49817
his,367531,49817
blind,367531,49817
foster,367531,49817
kittens,367531,49817
dodo,367531,49817
ytshort,367241,38157
contentcreator,367241,38157
trending,367241,38157
india,367241,38157
minute,354807,15183
trick,354807,15183
stop,354807,15183
procrastinating,354807,15183
good,354807,15183
problems,348849,24755
jd,334827,29603
vance,334827,29603
accepts,334827,29603
vice,334827,29603
presidential,334827,29603
nomination,334827,29603
what,333900,15718
on,307322,14506
rolls,303225,3157
royce,303225,3157
phantom,303225,3157
2018,303225,3157
best,303225,3157
luxury,303225,3157
hand,303225,3157
ever,303225,3157
organize,289730,19
your,289730,19
cords,289730,19
nextupgrade,289730,19
napkin,288683,19675
former,281420,16402
president,281420,16402
arrives,281420,16402
days,281420,16402
after,281420,16402
galaxyxtxt,279414,58835
always,279414,58835
wins,279414,58835
samsung,279414,58835
batman,266694,3828
not,266694,3828
expect,266694,3828
non,253684,29832
vs,253684,29832
legends,253684,29832
foryoubage,253684,29832
freefirehighlights,253684,29832
freefire,253684,29832
gtk111,253684,29832
dramatic,253273,4503
moment,253273,4503
ukrainian,253273,4503
fighters,253273,4503
fire,253273,4503
russian,253273,4503
trenches,253273,4503
captured,253273,4503
heart,253273,4503
stopping,253273,4503
footage,253273,4503
granny,253224,10991
knew,253224,10991
granddaughter,253224,10991
wouldn,253224,10991
t,253224,10991
take,253224,10991
money,253224,10991
from,253224,10991
feixiao,244541,26755
extraterrestrial,244541,26755
satellite,244541,26755
communication,244541,26755
can,211268,44659
voice,175966,30442
actors,175966,30442
are,175966,30442
everywhere,175966,30442
part,175966,30442
107,175966,30442
voiceactors,175966,30442
congress,159586,4235
move,159586,4235
quickly,159586,4235
get,159586,4235
answers,159586,4235
speaker,159586,4235
johnson,159586,4235
biden,147736,10271
simp,147736,10271
jack,147736,10271
black,147736,10271
forced,147736,10271
